month,AccountID,count,sum
12,278005,441,17845058
12,2739,6090,1796542
12,225356,2499,1230348
12,228502,1190,38854
12,27972,332,309681
12,233756,207,46372
12,142935,297,1270270
12,88139,981,5499659
12,130372,120,170701
12,232889,8,3239
12,270564,422,84086
12,206566,9,881
12,200108,65,22550
12,187159,46,54054
12,207493,4,30240
12,197358,37,30951
12,40761,6,1635
12,179310,10,10845
12,13065,9,8331
12,46566,40,3128
12,207884,21,17639
12,167350,1,425
12,145936,36,54114
12,141698,8,3312
12,218334,13,14113
12,4886,5,4183
12,111448,189,14407395
12,238238,82,190989
12,215998,6,2229
12,186220,14,57638
12,187052,2,16349
12,7999,5,22425
12,155656,1,1379
12,37197,4,1178
12,251931,15,193712
12,204176,2,29415
12,245498,17,126913
12,148102,4,113083
12,8366,3,1986
12,232308,7,231834
12,157515,2,9161
12,67920,11,3381
12,108582,8,9257
12,219698,4,4082
12,129594,2,3203
12,25192,4,1453
12,14933,7,8271
10,54576,348,1955059
12,163561,1,66
12,272277,2,193
12,142826,3,2352
12,242821,6,7645
12,278344,7,8893
12,91737,1,18159
11,102039,9,8928
12,238858,4,7128
12,41247,2,76
12,174333,1,5169
12,231414,2,3871
12,6399,1,5287
12,167664,3,11064
12,7964,1,2779
12,243800,2,251
12,272174,1,2417
12,46049,5,32110
12,72475,3,11782
12,246023,1,1521
12,134312,2,5376
12,98889,3,520
12,174757,1,2078
12,134220,4,495643
12,67324,2,1272
12,141958,8,52965
12,214364,1,2072
12,232948,3,4061
12,155456,4,108292
12,186590,40,39681
12,118889,4,10783
12,153754,1,103
7,637,462,3509913
12,212419,1,3073
12,4316,5,3834
12,223117,1,1089
12,251149,1,605
12,94568,3,3002
12,3085,1,2966
12,220171,1,5746
12,241342,2,31760
12,135948,4,73
12,102851,3,1206
12,71016,1,3161
10,12619,12,68883
12,230053,1,938
12,230326,1,356
12,213495,1,13
12,172018,2,403
9,194118,14955,23116185
9,95771,275,619152
11,241692,82,1534930
12,86360,1,1
12,237764,1,46
12,157566,1,5396
12,9013,1,2333
5,152070,316,12634
5,1978,184,50506
5,53557,39,7688
5,177055,14,35320
5,111842,54,108719
5,105619,4674,3796494
5,123458,12,157966
5,72203,40,100295
5,33303,514,1407296
5,84273,13,22209
5,84736,30,40537
5,70137,96,99383
5,133826,34,6662
5,128598,1075,353944
5,211568,7,4431
5,160661,3,17357
5,166200,6,114454
5,88439,23,36764
5,172389,4,15857
5,26111,103,21526
2,72061,1749,9895990
4,175474,2,6519
4,46643,8057,7836437
5,5087,3,74
5,125626,13,22823
5,78311,32,217740
5,186019,1,3064
5,200195,8,69101
5,211211,1,2183
5,79908,14,14862
5,85238,3,2046
5,90643,1,648
5,91162,1,78
5,58905,5,13915
5,119650,3,9940
5,153280,1,28
4,46395,1127,769330
5,203211,7,4935
5,36703,40,83260
4,78727,102,1326
4,10351,3,391
4,97960,5,6974
4,39786,177,26571
4,28918,20,12315
4,70785,7282,2695590
4,2085,7,23397
4,167718,4014,1334092
4,92563,4650,1449291
4,197052,5,11922
4,91669,64,67123
4,194455,2,786
5,198481,5,5266
4,67578,2,2849
4,121454,1,104
4,198217,1,6758
4,122113,3,1531
4,77288,6,2989
4,65913,19,798034
4,183159,3817,3254768
4,146520,1,5545
4,158039,436,1972281
4,59573,1,14
4,90663,1,15113
4,186721,4291,2029617
4,63034,1,5597
4,81567,2,1489
4,107469,2,779
4,82775,2,12224
4,66067,6,3165
4,90589,6,2641
4,13065,13,12306
4,170651,67,92924
4,177393,8,4940
4,69146,8,20235
4,3268,21,9358
3,105923,3265,1349566
4,25192,2,1000
4,6092,2,1709
4,76142,1,4147
5,152249,18,34603
5,84475,1,1426
5,28655,10,17696
12,142875,56,337636
12,226533,156,186278
12,115359,224,666701
12,150709,21,10501
12,77460,3,57
12,91420,15,12932
12,206924,273,549116
12,108719,7,713
12,141963,11,66831
12,1258,6,13755
12,269665,64,17108
12,241692,90,3723495
12,149014,146,26403
12,201131,56,470740
12,288098,110,445626
12,254346,1,68
12,118884,1,816
12,156338,5,27231
12,189792,6,248424
12,200195,7,56694
12,322900,220,61670
12,240254,20,30072
12,228147,35,210280
12,114081,2,609
12,148059,36,12927
11,280634,14,31120
12,236677,9,187024
12,254132,6,21335
9,637,388,1767924
11,283196,939,286616
12,58874,5,53
12,98653,2,1585
12,171558,11,7176
12,118866,4,2181
12,110775,7,32431
12,157233,4,9294
12,46096,17,209584
12,51616,1,1076
10,223053,7303,4121339
12,144089,1,48914
12,88290,6,19410
12,200665,10,3035
11,108896,3,3146
12,130103,1,93
12,214524,4,8651
12,62695,16,753
12,228866,11,873
12,182371,1,173
12,226464,2,149517
12,69111,1,81
12,115669,125,31405
12,209846,5,4056
12,275216,1,626
12,85171,2,985
12,93818,5,3650
12,105322,1,511
12,184327,1,37914
12,108891,1,2270
12,169139,1,6553
12,168713,1,50
12,29767,1,404
12,231964,1,2635
12,151974,2,415
12,174300,3,9847
12,72852,21,655570
12,156146,2,5845
12,179967,6,15617
12,203490,5,850
12,274572,6,7445
12,15009,2,398
12,95789,2,865
12,226382,3,499
12,144612,2,2150
12,115074,1,70
12,231392,3,1528
12,94191,2,934
12,175390,3,887
12,73412,2,2087
12,124145,1,8992
5,23849,91,99299
5,159070,50,138470
5,200185,8,45542
5,9039,7,2945
5,115359,210,764320
5,138434,21,36735
5,207251,573,465183
5,185082,2906,837612
5,113933,1912,883552
5,150448,51,2169041
5,55908,78,635025
5,108410,85,1229629
5,83493,11,11878
5,27972,177,177381
5,156273,4,66882
5,81793,1,1112
5,163400,12,7598
5,164124,512,496669
5,94018,3,9107
5,97960,10,8750
5,186281,1,1010
5,192864,1,34940
5,165731,51,132987
5,62695,15,1111
5,109356,3,37121
5,135136,1,593
5,189906,2,1855
5,159939,12,803589
5,87096,3,1864
5,115669,14,8061
5,202498,12,4585
5,195274,6,3800
5,53637,1,288
5,102378,1,4513
5,126831,2,1139
5,99999,4,1809
5,123071,23,22103
5,193577,1,4
5,204621,1,1634
5,50176,11,49931
5,27119,9,23859
5,128078,1,1109
5,168199,13,18078
5,190394,1,154
5,2480,69,290646
5,120809,24,82446
5,13314,1,2271
5,192878,1,53639
5,85732,3,2632
4,160751,144,46323
4,185259,742,464343
4,76676,175,40149
4,151078,3,1913
3,186340,50,15895
4,145625,208,132673
4,150828,2741,1733424
4,112663,764,187684
4,32175,438,399405
4,100232,4,220819
4,36358,196,545897
4,172988,9,83856
4,145936,441,691213
4,155935,58,96779
4,79016,12,10410
4,58918,4,3000
4,25562,16,28743
4,10591,1,3650
4,28280,1,1122
4,54946,3,2141
4,171558,3,4259
4,83144,7,4482
4,136627,35,1494
4,31836,6,2182
4,99243,64,165541
4,3640,8,3097
5,204592,2,473
5,91533,3,992
5,166224,2,23528
5,96301,3,49499
12,167602,2,20149
5,148284,1,96
5,193150,1,1147
5,40477,5,4097
5,213129,40,25414
3,115474,7,23911
5,128529,1,17903
5,140456,4,11582
5,202723,1,1103
5,83321,4,2345
5,201182,2,2
6,167256,154,1425830
6,174355,1207,499077
6,88439,36,56226
6,78727,382,13367
6,128598,461,285739
6,158039,582,5470278
6,151450,2248,1144629
6,26111,161,20751
6,91281,2533,1240964
6,55908,115,284438
6,146460,574,531225
6,72717,34,37263
6,143806,14,15765
6,3462,155,544207
6,172389,4,32618
6,107341,3,27362
12,73578,1716,17222484
12,90818,794,132641
12,277980,2555,4281336
12,96098,4365,751706
12,215826,313,1062733
12,78657,81,582033
12,246258,5,53600
12,77288,7,3510
12,3078,157,56606
12,216960,8,6708
12,174355,1430,537677
12,63288,11,31391
12,2982,112,258385
12,32823,102,15221
12,102145,102,766949
12,170651,31,29876
12,161692,14,102149
12,291314,4,831
12,193503,118,22388
12,220255,13,6756
12,193517,17,5078
12,270411,2,4800
12,27119,4,11964
12,79551,1,304
12,115217,787,194403
12,240546,13,4395
12,123200,4,70202
12,91726,1,16279
12,27033,2,1007
12,189268,39,39576
12,150556,61,82653
12,78254,14,66230
11,220572,9,11396
12,270400,1,6100
12,71571,4,5128
12,198895,8,15260
9,14323,436,6610825
12,232666,9,365367
12,223499,13,4612
12,180852,4,18257
12,231320,36,36187
12,196530,9,15349
12,33933,2,6041
12,135803,3,1397
12,178939,2,2533
12,66067,6,2107
12,145945,3,1504
12,167039,12,6267
12,85238,5,3235
12,90501,1,1501
12,270417,261,16427
11,45455,6210,857672
11,231288,29969,40454735
12,144562,4,720
12,179199,2,404
12,179524,5,5692
12,102951,1,531
12,143831,7,5834
12,276619,17,525719
12,218576,5,48692
12,236216,2,152
12,214405,1,15107
12,76498,13,11009
12,201058,1,199
12,72635,3,1800
12,218786,3,4815
12,193825,9,39297
12,141240,5,3023
12,242713,2,4550
12,250113,1,147
12,204910,1,4569
12,149320,1,2
12,153756,2,5087
12,24660,2,768
12,230407,1,20
12,287336,5,445
12,272177,3,120169
12,94963,1,454
12,105795,8,472
12,209323,9,3658
12,205488,1,219526
12,103777,1,173
12,253663,2,9388
10,14323,971,7575434
9,166964,3082,2109984
12,199366,1,432
12,224202,1,115
12,2840,5,10472
12,29007,3,1601
12,278010,3,29534
12,121670,1,14886
12,213853,1,31
12,188879,2,53083
10,72061,132,1944129
5,200638,32,11858
5,71552,504,5930649
5,88409,2,21991
5,133656,3,917
5,148637,33,197141
5,184175,4,9899
5,102145,59,807516
5,88132,153,1044805
5,135915,1559,2539327
5,109483,60,89593
5,96932,3,2763
5,74113,197,48636
5,190655,246,1526158
5,120538,229,273497
5,195357,12,42715
5,373,28,33665
5,127573,1,1464
5,92632,2,5916
5,199159,10,2860
5,166877,1,785
5,206903,4,7276
3,85028,816,344751
5,165695,4,704927
5,123200,6,96520
5,33295,15,34631
5,96479,28,2919
5,78680,5,3680
5,193362,18,2443
5,150577,41,25255
5,49666,6,27018
5,171803,132,62157
3,165113,22,176275
5,89836,4,4045
5,2967,2,1928
5,106495,8,25828
5,212397,16,40923
5,146549,6,29260
5,172062,7,19970
5,2778,1,10966
5,145714,10,56067
5,207107,6,2975
5,12289,2,1769
5,80658,8,17878
5,146198,2,786
5,57447,1,1352
5,213670,1,1
5,154867,1,1527
5,188328,28,20268
5,13298,1,4046
5,142879,1,2100
5,115662,2,1879
5,150502,1,325
5,215826,85,133596
5,107724,6,2101
4,160026,10,4815
4,118242,618,136475
4,199970,2,47061
4,85620,142,65493
4,150491,23,17254
4,147449,38,19568
4,6026,8,4576
4,82421,27,10728
4,31576,1,383
4,87478,53,25045
4,181757,34,1351
4,147113,1,30
4,139389,1248,1300932
4,135851,11924,2314116
4,637,353,2844715
4,79752,113,64882
4,162,1262,8984662
4,169145,799,118251
4,1332,28,22139
4,160744,1131,888762
4,3140,1,1684
4,145623,3,7810
4,74629,2,5400
4,22356,1,3172
4,147038,1,709
4,152193,6,32671
4,78038,8,5980
4,138470,25,3675
4,174406,1,134
4,77445,5,892
3,38251,2829,932019
4,135965,3,1066
4,175657,30,3700
4,87407,72,133892
3,172462,1,6063
3,97692,3064,1267731
4,183146,3,1959
12,97676,1720,916609
12,228141,641,102807
12,192678,50,599000
12,160526,2,683
12,4429,155,73359
12,643,14,18016
12,150,322,1114686
12,73510,362,4237035
12,139003,9,4442
12,162432,29,676065
12,250849,4,3694
12,220593,10,1963
12,95902,3,3119
12,120118,15,744
12,241575,23,11448
12,129960,11,23349
12,109074,60,661343
12,273548,78,3515256
12,200702,5,3071
12,3971,39,23479
12,275391,59,389664
12,32936,33,26025
12,76600,11,4779
12,104588,2,2107
12,80658,6,22194
12,200297,2,18459
12,184399,16,10145
12,130744,4,2279
12,2401,25,471958
12,145903,3,2371
12,221956,1,47
12,249704,10,211370
12,38414,3,534
11,97639,70,40794
12,130908,12,834270
12,88331,1,305
12,167598,6,128313
12,162265,2,17758
12,136864,2,6156
12,182852,10,261132
12,187635,3,3074
12,246646,20,13651
12,85563,2,3561
12,11793,8,3786
12,13224,18,20739
12,154360,8,1027
